x,y,up,down,left,right
1,1,0,1,0,1
6,1,0,1,1,1
12,1,0,1,1,0
15,1,0,1,0,1
21,1,0,1,1,1
26,1,0,1,1,0
1,5,1,1,0,1
6,5,1,1,1,1
9,5,0,1,1,1
12,5,1,0,1,1
15,5,1,0,1,1
18,5,0,1,1,1
21,5,1,1,1,1
26,5,1,1,1,0
1,8,1,0,0,1
6,8,1,1,1,0
9,8,1,0,0,1
12,8,0,1,1,0
15,8,0,1,0,1
18,8,1,0,1,0
21,8,1,1,0,1
26,8,1,0,1,0
9,11,0,1,0,1
12,11,1,0,1,1
15,11,1,0,1,1
18,11,0,1,1,0
6,14,1,1,1,1
9,14,1,1,1,0
18,14,1,1,0,1
21,14,1,1,1,1
9,17,1,1,0,1
18,17,1,1,1,0
1,20,0,1,0,1
6,20,1,1,1,1
9,20,1,0,1,1
12,20,0,1,1,0
15,20,0,1,0,1
18,20,1,0,1,1
21,20,1,1,1,1
26,20,0,1,1,0
1,23,1,0,0,1
3,23,0,1,1,0
6,23,1,1,0,1
9,23,0,1,1,1
12,23,1,0,1,1
15,23,1,0,1,1
18,23,0,1,1,1
21,23,1,1,1,0
24,23,0,1,0,1
26,23,1,0,1,0
1,26,0,1,0,1
3,26,1,0,1,1
6,26,1,0,1,0
9,26,1,0,0,1
12,26,0,1,1,0
15,26,0,1,0,1
18,26,1,0,1,0
21,26,1,0,0,1
24,26,1,0,1,1
26,26,0,1,1,0
1,29,1,0,0,1
12,29,1,0,1,1
15,29,1,0,1,1
26,29,1,0,1,0
